electrcity_use_kwh,occupied,hour,day_of_week,building_BUILD_H_01,building_BUILD_H_03,building_BUILD_H_04,building_BUILD_H_05,building_BUILD_H_06,building_BUILD_H_07,building_BUILD_H_08
1.32,1,20,2,False,False,True,False,False,False,False
0.98,1,21,2,False,False,True,False,False,False,False
0.13,1,22,2,False,False,True,False,False,False,False
0.14,1,23,2,False,False,True,False,False,False,False
0.13,1,0,3,False,False,True,False,False,False,False
0.13,1,1,3,False,False,True,False,False,False,False
0.13,1,2,3,False,False,True,False,False,False,False
0.13,1,3,3,False,False,True,False,False,False,False
0.13,1,4,3,False,False,True,False,False,False,False
0.36,1,5,3,False,False,True,False,False,False,False
0.1,1,6,3,False,False,True,False,False,False,False
0.28,1,7,3,False,False,True,False,False,False,False
0.61,1,8,3,False,False,True,False,False,False,False
0.19,1,9,3,False,False,True,False,False,False,False
0.36,1,10,3,False,False,True,False,False,False,False
0.58,0,11,3,False,False,True,False,False,False,False
0.43,0,12,3,False,False,True,False,False,False,False
0.5,1,13,3,False,False,True,False,False,False,False
1.04,1,14,3,False,False,True,False,False,False,False
0.33,1,15,3,False,False,True,False,False,False,False
0.31,1,16,3,False,False,True,False,False,False,False
0.26,1,17,3,False,False,True,False,False,False,False
0.29,1,18,3,False,False,True,False,False,False,False
0.35,1,19,3,False,False,True,False,False,False,False
0.13,1,20,3,False,False,True,False,False,False,False
0.06,1,21,3,False,False,True,False,False,False,False
0.07,1,22,3,False,False,True,False,False,False,False
0.09,1,23,3,False,False,True,False,False,False,False
0.06,1,0,4,False,False,True,False,False,False,False
0.07,1,1,4,False,False,True,False,False,False,False
0.07,1,2,4,False,False,True,False,False,False,False
0.06,1,3,4,False,False,True,False,False,False,False
0.06,1,4,4,False,False,True,False,False,False,False
0.07,1,5,4,False,False,True,False,False,False,False
0.89,1,6,4,False,False,True,False,False,False,False
0.56,1,7,4,False,False,True,False,False,False,False
0.13,1,8,4,False,False,True,False,False,False,False
0.09,1,9,4,False,False,True,False,False,False,False
0.06,1,10,4,False,False,True,False,False,False,False
0.12,1,11,4,False,False,True,False,False,False,False
0.06,1,12,4,False,False,True,False,False,False,False
0.09,1,13,4,False,False,True,False,False,False,False
0.07,1,14,4,False,False,True,False,False,False,False
0.4,1,15,4,False,False,True,False,False,False,False
0.23,1,16,4,False,False,True,False,False,False,False
0.2,1,17,4,False,False,True,False,False,False,False
0.45,1,18,4,False,False,True,False,False,False,False
0.07,1,19,4,False,False,True,False,False,False,False
0.08,1,20,4,False,False,True,False,False,False,False
0.08,1,21,4,False,False,True,False,False,False,False
0.06,1,22,4,False,False,True,False,False,False,False
0.06,1,23,4,False,False,True,False,False,False,False
0.06,1,0,5,False,False,True,False,False,False,False
0.07,1,1,5,False,False,True,False,False,False,False
0.06,1,2,5,False,False,True,False,False,False,False
0.05,1,3,5,False,False,True,False,False,False,False
0.07,1,4,5,False,False,True,False,False,False,False
0.07,1,5,5,False,False,True,False,False,False,False
0.73,1,6,5,False,False,True,False,False,False,False
0.61,1,7,5,False,False,True,False,False,False,False
1.99,1,8,5,False,False,True,False,False,False,False
0.2,0,9,5,False,False,True,False,False,False,False
0.07,0,10,5,False,False,True,False,False,False,False
0.27,0,11,5,False,False,True,False,False,False,False
0.81,1,12,5,False,False,True,False,False,False,False
0.5,1,13,5,False,False,True,False,False,False,False
0.25,1,14,5,False,False,True,False,False,False,False
0.11,0,15,5,False,False,True,False,False,False,False
0.11,0,16,5,False,False,True,False,False,False,False
1.03,1,17,5,False,False,True,False,False,False,False
0.68,1,18,5,False,False,True,False,False,False,False
0.99,1,19,5,False,False,True,False,False,False,False
0.15,1,20,5,False,False,True,False,False,False,False
0.08,1,21,5,False,False,True,False,False,False,False
0.08,1,22,5,False,False,True,False,False,False,False
0.07,1,23,5,False,False,True,False,False,False,False
0.07,1,0,6,False,False,True,False,False,False,False
0.07,1,1,6,False,False,True,False,False,False,False
0.07,1,2,6,False,False,True,False,False,False,False
0.07,1,3,6,False,False,True,False,False,False,False
0.06,1,4,6,False,False,True,False,False,False,False
0.07,1,5,6,False,False,True,False,False,False,False
0.18,1,6,6,False,False,True,False,False,False,False
0.22,1,7,6,False,False,True,False,False,False,False
0.24,1,8,6,False,False,True,False,False,False,False
1.92,1,9,6,False,False,True,False,False,False,False
0.11,0,10,6,False,False,True,False,False,False,False
0.06,0,11,6,False,False,True,False,False,False,False
0.07,0,12,6,False,False,True,False,False,False,False
0.11,0,13,6,False,False,True,False,False,False,False
0.14,1,14,6,False,False,True,False,False,False,False
0.14,1,15,6,False,False,True,False,False,False,False
0.14,1,16,6,False,False,True,False,False,False,False
0.39,1,17,6,False,False,True,False,False,False,False
0.48,1,18,6,False,False,True,False,False,False,False
0.82,1,19,6,False,False,True,False,False,False,False
0.63,1,20,6,False,False,True,False,False,False,False
0.09,1,21,6,False,False,True,False,False,False,False
0.09,1,22,6,False,False,True,False,False,False,False
0.09,1,23,6,False,False,True,False,False,False,False
0.1,1,0,0,False,False,True,False,False,False,False
0.07,1,1,0,False,False,True,False,False,False,False
0.07,1,2,0,False,False,True,False,False,False,False
0.06,1,3,0,False,False,True,False,False,False,False
0.07,1,4,0,False,False,True,False,False,False,False
0.07,1,5,0,False,False,True,False,False,False,False
0.77,1,6,0,False,False,True,False,False,False,False
0.5,1,7,0,False,False,True,False,False,False,False
0.41,1,8,0,False,False,True,False,False,False,False
0.51,1,9,0,False,False,True,False,False,False,False
0.4,1,10,0,False,False,True,False,False,False,False
0.11,1,11,0,False,False,True,False,False,False,False
0.12,1,12,0,False,False,True,False,False,False,False
0.1,1,13,0,False,False,True,False,False,False,False
0.07,1,14,0,False,False,True,False,False,False,False
0.2,1,15,0,False,False,True,False,False,False,False
0.64,1,16,0,False,False,True,False,False,False,False
0.12,1,17,0,False,False,True,False,False,False,False
0.16,1,18,0,False,False,True,False,False,False,False
0.34,1,19,0,False,False,True,False,False,False,False
0.14,1,20,0,False,False,True,False,False,False,False
0.1,1,21,0,False,False,True,False,False,False,False
0.06,1,22,3,False,False,False,True,False,False,False
0.04,1,23,3,False,False,False,True,False,False,False
0.04,1,0,4,False,False,False,True,False,False,False
0.03,1,1,4,False,False,False,True,False,False,False
0.04,1,2,4,False,False,False,True,False,False,False
0.04,1,3,4,False,False,False,True,False,False,False
0.03,1,4,4,False,False,False,True,False,False,False
0.04,1,5,4,False,False,False,True,False,False,False
0.29,1,6,4,False,False,False,True,False,False,False
0.05,0,7,4,False,False,False,True,False,False,False
0.61,1,8,4,False,False,False,True,False,False,False
0.48,1,9,4,False,False,False,True,False,False,False
0.51,1,10,4,False,False,False,True,False,False,False
0.48,1,11,4,False,False,False,True,False,False,False
0.17,1,12,4,False,False,False,True,False,False,False
0.25,1,13,4,False,False,False,True,False,False,False
0.12,1,14,4,False,False,False,True,False,False,False
0.11,0,15,4,False,False,False,True,False,False,False
0.12,0,16,4,False,False,False,True,False,False,False
0.11,0,17,4,False,False,False,True,False,False,False
0.08,0,18,4,False,False,False,True,False,False,False
0.16,1,19,4,False,False,False,True,False,False,False
0.08,1,20,4,False,False,False,True,False,False,False
0.16,1,21,4,False,False,False,True,False,False,False
0.08,1,22,4,False,False,False,True,False,False,False
0.08,1,23,4,False,False,False,True,False,False,False
0.07,1,0,5,False,False,False,True,False,False,False
0.06,1,1,5,False,False,False,True,False,False,False
0.06,1,2,5,False,False,False,True,False,False,False
0.06,1,3,5,False,False,False,True,False,False,False
0.06,1,4,5,False,False,False,True,False,False,False
0.06,1,5,5,False,False,False,True,False,False,False
0.07,1,6,5,False,False,False,True,False,False,False
0.14,1,7,5,False,False,False,True,False,False,False
0.95,1,8,5,False,False,False,True,False,False,False
0.12,1,9,5,False,False,False,True,False,False,False
0.29,1,10,5,False,False,False,True,False,False,False
0.23,1,11,5,False,False,False,True,False,False,False
0.1,1,12,5,False,False,False,True,False,False,False
0.06,0,13,5,False,False,False,True,False,False,False
0.06,0,14,5,False,False,False,True,False,False,False
0.06,0,15,5,False,False,False,True,False,False,False
1.0,1,16,5,False,False,False,True,False,False,False
1.02,1,17,5,False,False,False,True,False,False,False
0.2,1,18,5,False,False,False,True,False,False,False
0.15,1,19,5,False,False,False,True,False,False,False
0.33,1,20,5,False,False,False,True,False,False,False
0.24,1,21,5,False,False,False,True,False,False,False
0.12,1,22,5,False,False,False,True,False,False,False
0.08,1,23,5,False,False,False,True,False,False,False
0.08,1,0,6,False,False,False,True,False,False,False
0.06,1,1,6,False,False,False,True,False,False,False
0.07,1,2,6,False,False,False,True,False,False,False
0.06,1,3,6,False,False,False,True,False,False,False
0.07,1,4,6,False,False,False,True,False,False,False
0.06,1,5,6,False,False,False,True,False,False,False
0.07,1,6,6,False,False,False,True,False,False,False
0.38,1,7,6,False,False,False,True,False,False,False
0.67,1,8,6,False,False,False,True,False,False,False
0.06,1,9,6,False,False,False,True,False,False,False
0.28,1,10,6,False,False,False,True,False,False,False
0.76,0,11,6,False,False,False,True,False,False,False
0.53,0,12,6,False,False,False,True,False,False,False
0.06,0,13,6,False,False,False,True,False,False,False
0.07,0,14,6,False,False,False,True,False,False,False
0.6,1,15,6,False,False,False,True,False,False,False
0.42,1,16,6,False,False,False,True,False,False,False
0.52,1,17,6,False,False,False,True,False,False,False
0.52,1,18,6,False,False,False,True,False,False,False
0.06,1,19,6,False,False,False,True,False,False,False
0.07,1,20,6,False,False,False,True,False,False,False
0.29,1,21,6,False,False,False,True,False,False,False
0.08,1,22,6,False,False,False,True,False,False,False
0.08,1,23,6,False,False,False,True,False,False,False
0.1,1,0,0,False,False,False,True,False,False,False
0.07,1,1,0,False,False,False,True,False,False,False
0.06,1,2,0,False,False,False,True,False,False,False
0.07,1,3,0,False,False,False,True,False,False,False
0.08,1,4,0,False,False,False,True,False,False,False
0.07,1,5,0,False,False,False,True,False,False,False
0.05,1,6,0,False,False,False,True,False,False,False
0.12,1,7,0,False,False,False,True,False,False,False
0.68,1,8,0,False,False,False,True,False,False,False
0.13,0,9,0,False,False,False,True,False,False,False
0.4,1,10,0,False,False,False,True,False,False,False
0.28,1,11,0,False,False,False,True,False,False,False
0.49,1,12,0,False,False,False,True,False,False,False
1.17,1,13,0,False,False,False,True,False,False,False
0.77,0,14,0,False,False,False,True,False,False,False
0.8,1,15,0,False,False,False,True,False,False,False
0.06,1,16,0,False,False,False,True,False,False,False
0.11,1,17,0,False,False,False,True,False,False,False
0.06,1,18,0,False,False,False,True,False,False,False
0.07,1,19,0,False,False,False,True,False,False,False
0.09,1,20,0,False,False,False,True,False,False,False
0.09,1,21,0,False,False,False,True,False,False,False
0.07,1,22,0,False,False,False,True,False,False,False
0.05,1,23,0,False,False,False,True,False,False,False
0.07,1,0,1,False,False,False,True,False,False,False
0.06,1,1,1,False,False,False,True,False,False,False
0.07,1,2,1,False,False,False,True,False,False,False
0.05,1,3,1,False,False,False,True,False,False,False
0.06,1,4,1,False,False,False,True,False,False,False
0.06,1,5,1,False,False,False,True,False,False,False
0.12,1,6,1,False,False,False,True,False,False,False
0.1,1,7,1,False,False,False,True,False,False,False
0.09,1,8,1,False,False,False,True,False,False,False
0.17,1,9,1,False,False,False,True,False,False,False
0.08,1,10,1,False,False,False,True,False,False,False
0.55,1,11,1,False,False,False,True,False,False,False
0.11,1,12,1,False,False,False,True,False,False,False
0.09,1,13,1,False,False,False,True,False,False,False
0.43,1,14,1,False,False,False,True,False,False,False
0.25,1,15,1,False,False,False,True,False,False,False
0.96,0,16,1,False,False,False,True,False,False,False
0.46,0,17,1,False,False,False,True,False,False,False
0.32,1,18,1,False,False,False,True,False,False,False
0.07,1,19,1,False,False,False,True,False,False,False
0.08,1,20,1,False,False,False,True,False,False,False
0.07,1,21,1,False,False,False,True,False,False,False
0.09,1,22,1,False,False,False,True,False,False,False
0.08,1,23,1,False,False,False,True,False,False,False
0.07,1,0,2,False,False,False,True,False,False,False
0.05,1,1,2,False,False,False,True,False,False,False
0.08,1,2,2,False,False,False,True,False,False,False
0.05,1,3,2,False,False,False,True,False,False,False
0.07,1,4,2,False,False,False,True,False,False,False
0.05,1,5,2,False,False,False,True,False,False,False
0.18,1,6,2,False,False,False,True,False,False,False
0.08,1,7,2,False,False,False,True,False,False,False
0.1,1,8,2,False,False,False,True,False,False,False
0.1,1,9,2,False,False,False,True,False,False,False
0.05,0,10,2,False,False,False,True,False,False,False
0.6,1,11,2,False,False,False,True,False,False,False
0.15,1,12,2,False,False,False,True,False,False,False
0.13,1,13,2,False,False,False,True,False,False,False
0.74,1,14,2,False,False,False,True,False,False,False
0.84,0,15,2,False,False,False,True,False,False,False
0.06,0,16,2,False,False,False,True,False,False,False
0.8,1,17,2,False,False,False,True,False,False,False
0.26,1,18,2,False,False,False,True,False,False,False
0.09,1,19,2,False,False,False,True,False,False,False
0.08,1,20,2,False,False,False,True,False,False,False
0.17,1,21,2,False,False,False,True,False,False,False
0.08,1,22,2,False,False,False,True,False,False,False
0.06,1,23,2,False,False,False,True,False,False,False
0.07,1,0,3,False,False,False,True,False,False,False
0.06,1,1,3,False,False,False,True,False,False,False
0.08,1,2,3,False,False,False,True,False,False,False
0.05,1,3,3,False,False,False,True,False,False,False
0.07,1,4,3,False,False,False,True,False,False,False
0.06,1,5,3,False,False,False,True,False,False,False
0.24,1,6,3,False,False,False,True,False,False,False
0.06,0,7,3,False,False,False,True,False,False,False
0.07,0,8,3,False,False,False,True,False,False,False
0.06,0,9,3,False,False,False,True,False,False,False
0.07,0,10,3,False,False,False,True,False,False,False
0.06,0,11,3,False,False,False,True,False,False,False
0.06,0,12,3,False,False,False,True,False,False,False
0.07,0,13,3,False,False,False,True,False,False,False
0.06,0,14,3,False,False,False,True,False,False,False
0.07,0,15,3,False,False,False,True,False,False,False
0.26,1,16,3,False,False,False,True,False,False,False
0.97,1,17,3,False,False,False,True,False,False,False
0.11,1,18,3,False,False,False,True,False,False,False
0.17,1,19,3,False,False,False,True,False,False,False
0.19,1,20,3,False,False,False,True,False,False,False
0.08,1,21,3,False,False,False,True,False,False,False
0.08,1,22,3,False,False,False,True,False,False,False
0.06,1,23,3,False,False,False,True,False,False,False
0.07,1,0,4,False,False,False,True,False,False,False
0.06,1,1,4,False,False,False,True,False,False,False
0.07,1,2,4,False,False,False,True,False,False,False
0.05,1,3,4,False,False,False,True,False,False,False
0.07,1,4,4,False,False,False,True,False,False,False
0.05,1,5,4,False,False,False,True,False,False,False
0.29,1,6,4,False,False,False,True,False,False,False
0.07,0,7,4,False,False,False,True,False,False,False
0.28,0,8,4,False,False,False,True,False,False,False
0.77,0,9,4,False,False,False,True,False,False,False
0.53,0,10,4,False,False,False,True,False,False,False
0.06,0,11,4,False,False,False,True,False,False,False
0.05,0,12,4,False,False,False,True,False,False,False
0.07,0,13,4,False,False,False,True,False,False,False
0.05,0,14,4,False,False,False,True,False,False,False
0.11,0,15,4,False,False,False,True,False,False,False
0.4,1,16,4,False,False,False,True,False,False,False
1.11,1,17,4,False,False,False,True,False,False,False
0.14,1,18,4,False,False,False,True,False,False,False
0.16,1,19,4,False,False,False,True,False,False,False
0.9,1,20,4,False,False,False,True,False,False,False
0.69,1,21,4,False,False,False,True,False,False,False
0.18,1,22,4,False,False,False,True,False,False,False
0.15,1,23,4,False,False,False,True,False,False,False
0.21,1,0,5,False,False,False,True,False,False,False
0.14,1,1,5,False,False,False,True,False,False,False
0.11,1,2,5,False,False,False,True,False,False,False
0.12,1,3,5,False,False,False,True,False,False,False
0.09,1,4,5,False,False,False,True,False,False,False
0.1,1,5,5,False,False,False,True,False,False,False
0.09,1,6,5,False,False,False,True,False,False,False
0.31,1,7,5,False,False,False,True,False,False,False
0.68,1,8,5,False,False,False,True,False,False,False
1.23,1,9,5,False,False,False,True,False,False,False
0.43,0,10,5,False,False,False,True,False,False,False
1.07,1,11,5,False,False,False,True,False,False,False
0.2,1,12,5,False,False,False,True,False,False,False
0.07,0,13,5,False,False,False,True,False,False,False
0.08,0,14,5,False,False,False,True,False,False,False
1.81,1,15,5,False,False,False,True,False,False,False
0.76,1,16,5,False,False,False,True,False,False,False
0.24,1,17,5,False,False,False,True,False,False,False
0.45,1,18,5,False,False,False,True,False,False,False
1.35,1,19,5,False,False,False,True,False,False,False
0.67,1,20,5,False,False,False,True,False,False,False
0.72,1,21,5,False,False,False,True,False,False,False
0.232,1,22,4,False,False,False,False,True,False,False
0.535,1,23,4,False,False,False,False,True,False,False
0.155,1,0,5,False,False,False,False,True,False,False
0.392,1,1,5,False,False,False,False,True,False,False
0.145,1,2,5,False,False,False,False,True,False,False
0.084,1,3,5,False,False,False,False,True,False,False
0.15,1,4,5,False,False,False,False,True,False,False
0.086,1,5,5,False,False,False,False,True,False,False
0.132,1,6,5,False,False,False,False,True,False,False
0.099,1,7,5,False,False,False,False,True,False,False
0.118,1,8,5,False,False,False,False,True,False,False
0.176,1,9,5,False,False,False,False,True,False,False
0.093,0,10,5,False,False,False,False,True,False,False
0.165,1,11,5,False,False,False,False,True,False,False
0.163,1,12,5,False,False,False,False,True,False,False
0.195,1,13,5,False,False,False,False,True,False,False
0.229,1,14,5,False,False,False,False,True,False,False
0.199,1,15,5,False,False,False,False,True,False,False
0.433,1,16,5,False,False,False,False,True,False,False
0.635,1,17,5,False,False,False,False,True,False,False
0.213,1,18,5,False,False,False,False,True,False,False
0.198,1,19,5,False,False,False,False,True,False,False
0.215,1,20,5,False,False,False,False,True,False,False
0.222,1,21,5,False,False,False,False,True,False,False
0.227,1,22,5,False,False,False,False,True,False,False
0.157,1,23,5,False,False,False,False,True,False,False
0.085,1,0,6,False,False,False,False,True,False,False
0.146,1,1,6,False,False,False,False,True,False,False
0.089,1,2,6,False,False,False,False,True,False,False
0.135,1,3,6,False,False,False,False,True,False,False
0.076,1,4,6,False,False,False,False,True,False,False
0.145,1,5,6,False,False,False,False,True,False,False
0.072,1,6,6,False,False,False,False,True,False,False
0.135,1,7,6,False,False,False,False,True,False,False
0.099,1,8,6,False,False,False,False,True,False,False
0.247,1,9,6,False,False,False,False,True,False,False
0.801,1,10,6,False,False,False,False,True,False,False
0.301,1,11,6,False,False,False,False,True,False,False
0.451,1,12,6,False,False,False,False,True,False,False
1.213,1,13,6,False,False,False,False,True,False,False
0.755,1,14,6,False,False,False,False,True,False,False
0.061,1,15,6,False,False,False,False,True,False,False
0.178,1,16,6,False,False,False,False,True,False,False
1.263,1,17,6,False,False,False,False,True,False,False
0.734,1,18,6,False,False,False,False,True,False,False
0.165,1,19,6,False,False,False,False,True,False,False
0.11,1,20,6,False,False,False,False,True,False,False
0.311,1,21,6,False,False,False,False,True,False,False
0.256,1,22,6,False,False,False,False,True,False,False
0.171,1,23,6,False,False,False,False,True,False,False
0.13,1,0,0,False,False,False,False,True,False,False
0.111,1,1,0,False,False,False,False,True,False,False
0.101,1,2,0,False,False,False,False,True,False,False
0.135,1,3,0,False,False,False,False,True,False,False
0.113,1,4,0,False,False,False,False,True,False,False
0.153,1,5,0,False,False,False,False,True,False,False
0.173,1,6,0,False,False,False,False,True,False,False
0.204,1,7,0,False,False,False,False,True,False,False
0.144,0,8,0,False,False,False,False,True,False,False
0.169,1,9,0,False,False,False,False,True,False,False
0.324,1,10,0,False,False,False,False,True,False,False
0.138,1,11,0,False,False,False,False,True,False,False
0.2,1,12,0,False,False,False,False,True,False,False
0.235,1,13,0,False,False,False,False,True,False,False
0.236,1,14,0,False,False,False,False,True,False,False
0.226,1,15,0,False,False,False,False,True,False,False
0.157,1,16,0,False,False,False,False,True,False,False
0.474,1,17,0,False,False,False,False,True,False,False
0.219,1,18,0,False,False,False,False,True,False,False
0.505,1,19,0,False,False,False,False,True,False,False
0.289,1,20,0,False,False,False,False,True,False,False
0.213,1,21,0,False,False,False,False,True,False,False
0.144,1,22,0,False,False,False,False,True,False,False
0.193,1,23,0,False,False,False,False,True,False,False
0.093,1,0,1,False,False,False,False,True,False,False
0.103,1,1,1,False,False,False,False,True,False,False
0.131,1,2,1,False,False,False,False,True,False,False
0.078,1,3,1,False,False,False,False,True,False,False
0.132,1,4,1,False,False,False,False,True,False,False
0.218,1,5,1,False,False,False,False,True,False,False
0.201,1,6,1,False,False,False,False,True,False,False
0.551,1,7,1,False,False,False,False,True,False,False
0.455,0,8,1,False,False,False,False,True,False,False
0.248,1,9,1,False,False,False,False,True,False,False
0.214,1,10,1,False,False,False,False,True,False,False
0.242,1,11,1,False,False,False,False,True,False,False
0.12,1,12,1,False,False,False,False,True,False,False
0.259,1,13,1,False,False,False,False,True,False,False
0.274,1,14,1,False,False,False,False,True,False,False
0.231,1,15,1,False,False,False,False,True,False,False
0.233,1,16,1,False,False,False,False,True,False,False
0.585,1,17,1,False,False,False,False,True,False,False
0.175,1,18,1,False,False,False,False,True,False,False
0.26,1,19,1,False,False,False,False,True,False,False
0.241,1,20,1,False,False,False,False,True,False,False
0.181,1,21,1,False,False,False,False,True,False,False
0.252,1,22,1,False,False,False,False,True,False,False
0.112,1,23,1,False,False,False,False,True,False,False
0.156,1,0,2,False,False,False,False,True,False,False
0.078,1,1,2,False,False,False,False,True,False,False
0.153,1,2,2,False,False,False,False,True,False,False
0.082,1,3,2,False,False,False,False,True,False,False
0.137,1,4,2,False,False,False,False,True,False,False
0.135,1,5,2,False,False,False,False,True,False,False
0.175,1,6,2,False,False,False,False,True,False,False
0.124,1,7,2,False,False,False,False,True,False,False
0.103,0,8,2,False,False,False,False,True,False,False
0.116,0,9,2,False,False,False,False,True,False,False
0.111,0,10,2,False,False,False,False,True,False,False
0.144,1,11,2,False,False,False,False,True,False,False
0.271,1,12,2,False,False,False,False,True,False,False
0.168,1,13,2,False,False,False,False,True,False,False
0.13,1,14,2,False,False,False,False,True,False,False
0.122,0,15,2,False,False,False,False,True,False,False
0.491,1,16,2,False,False,False,False,True,False,False
0.39,1,17,2,False,False,False,False,True,False,False
0.267,1,18,2,False,False,False,False,True,False,False
0.274,1,19,2,False,False,False,False,True,False,False
0.256,1,20,2,False,False,False,False,True,False,False
0.356,1,21,2,False,False,False,False,True,False,False
0.183,1,22,2,False,False,False,False,True,False,False
0.122,1,23,2,False,False,False,False,True,False,False
0.148,1,0,3,False,False,False,False,True,False,False
0.146,1,1,3,False,False,False,False,True,False,False
0.147,1,2,3,False,False,False,False,True,False,False
0.058,1,3,3,False,False,False,False,True,False,False
0.129,1,4,3,False,False,False,False,True,False,False
0.149,1,5,3,False,False,False,False,True,False,False
0.192,1,6,3,False,False,False,False,True,False,False
0.182,1,7,3,False,False,False,False,True,False,False
0.212,1,8,3,False,False,False,False,True,False,False
0.214,1,9,3,False,False,False,False,True,False,False
0.049,1,10,3,False,False,False,False,True,False,False
0.194,1,11,3,False,False,False,False,True,False,False
0.182,1,12,3,False,False,False,False,True,False,False
0.41,1,13,3,False,False,False,False,True,False,False
0.15,0,14,3,False,False,False,False,True,False,False
0.145,0,15,3,False,False,False,False,True,False,False
1.253,1,16,3,False,False,False,False,True,False,False
0.773,1,17,3,False,False,False,False,True,False,False
0.289,1,18,3,False,False,False,False,True,False,False
0.613,1,19,3,False,False,False,False,True,False,False
0.429,1,20,3,False,False,False,False,True,False,False
0.277,1,21,3,False,False,False,False,True,False,False
0.167,1,22,3,False,False,False,False,True,False,False
0.09,1,23,3,False,False,False,False,True,False,False
0.139,1,0,4,False,False,False,False,True,False,False
0.152,1,1,4,False,False,False,False,True,False,False
0.151,1,2,4,False,False,False,False,True,False,False
0.158,1,3,4,False,False,False,False,True,False,False
0.142,1,4,4,False,False,False,False,True,False,False
0.075,1,5,4,False,False,False,False,True,False,False
0.276,1,6,4,False,False,False,False,True,False,False
0.23,1,7,4,False,False,False,False,True,False,False
0.229,1,8,4,False,False,False,False,True,False,False
0.127,1,9,4,False,False,False,False,True,False,False
0.213,1,10,4,False,False,False,False,True,False,False
0.239,1,11,4,False,False,False,False,True,False,False
0.253,1,12,4,False,False,False,False,True,False,False
0.222,1,13,4,False,False,False,False,True,False,False
0.222,1,14,4,False,False,False,False,True,False,False
0.233,1,15,4,False,False,False,False,True,False,False
1.006,1,16,4,False,False,False,False,True,False,False
0.344,1,17,4,False,False,False,False,True,False,False
0.241,1,18,4,False,False,False,False,True,False,False
0.343,1,19,4,False,False,False,False,True,False,False
0.277,1,20,4,False,False,False,False,True,False,False
0.228,1,21,4,False,False,False,False,True,False,False
0.212,1,22,4,False,False,False,False,True,False,False
0.061,1,23,4,False,False,False,False,True,False,False
0.125,1,0,5,False,False,False,False,True,False,False
0.159,1,1,5,False,False,False,False,True,False,False
0.149,1,2,5,False,False,False,False,True,False,False
0.082,1,3,5,False,False,False,False,True,False,False
0.106,1,4,5,False,False,False,False,True,False,False
0.15,1,5,5,False,False,False,False,True,False,False
0.148,1,6,5,False,False,False,False,True,False,False
0.066,1,7,5,False,False,False,False,True,False,False
0.121,1,8,5,False,False,False,False,True,False,False
0.144,1,9,5,False,False,False,False,True,False,False
0.114,1,10,5,False,False,False,False,True,False,False
0.812,1,11,5,False,False,False,False,True,False,False
0.143,1,12,5,False,False,False,False,True,False,False
0.169,1,13,5,False,False,False,False,True,False,False
0.126,1,14,5,False,False,False,False,True,False,False
0.162,1,15,5,False,False,False,False,True,False,False
0.156,1,16,5,False,False,False,False,True,False,False
0.73,1,17,5,False,False,False,False,True,False,False
0.621,1,18,5,False,False,False,False,True,False,False
0.193,1,19,5,False,False,False,False,True,False,False
0.499,1,20,5,False,False,False,False,True,False,False
0.185,1,21,5,False,False,False,False,True,False,False
0.23,1,22,5,False,False,False,False,True,False,False
0.177,1,23,5,False,False,False,False,True,False,False
0.113,1,0,6,False,False,False,False,True,False,False
0.092,1,1,6,False,False,False,False,True,False,False
0.15,1,2,6,False,False,False,False,True,False,False
0.107,1,3,6,False,False,False,False,True,False,False
0.078,1,4,6,False,False,False,False,True,False,False
0.152,1,5,6,False,False,False,False,True,False,False
0.132,1,6,6,False,False,False,False,True,False,False
0.049,1,7,6,False,False,False,False,True,False,False
0.158,1,8,6,False,False,False,False,True,False,False
0.189,1,9,6,False,False,False,False,True,False,False
0.08,0,10,6,False,False,False,False,True,False,False
0.15,1,11,6,False,False,False,False,True,False,False
0.174,1,12,6,False,False,False,False,True,False,False
0.147,1,13,6,False,False,False,False,True,False,False
0.153,1,14,6,False,False,False,False,True,False,False
0.065,1,15,6,False,False,False,False,True,False,False
0.15,1,16,6,False,False,False,False,True,False,False
0.762,1,17,6,False,False,False,False,True,False,False
0.475,1,18,6,False,False,False,False,True,False,False
0.255,1,19,6,False,False,False,False,True,False,False
0.155,1,20,6,False,False,False,False,True,False,False
0.223,1,21,6,False,False,False,False,True,False,False
0.144,1,22,6,False,False,False,False,True,False,False
0.145,1,23,6,False,False,False,False,True,False,False
0.058,1,0,0,False,False,False,False,True,False,False
0.153,1,1,0,False,False,False,False,True,False,False
0.096,1,2,0,False,False,False,False,True,False,False
0.103,1,3,0,False,False,False,False,True,False,False
0.149,1,4,0,False,False,False,False,True,False,False
0.082,1,5,0,False,False,False,False,True,False,False
0.15,1,6,0,False,False,False,False,True,False,False
0.244,1,7,0,False,False,False,False,True,False,False
0.217,1,8,0,False,False,False,False,True,False,False
0.183,0,9,0,False,False,False,False,True,False,False
0.195,0,10,0,False,False,False,False,True,False,False
0.081,0,11,0,False,False,False,False,True,False,False
0.197,0,12,0,False,False,False,False,True,False,False
0.215,0,13,0,False,False,False,False,True,False,False
0.176,1,14,0,False,False,False,False,True,False,False
0.079,1,15,0,False,False,False,False,True,False,False
0.076,1,16,0,False,False,False,False,True,False,False
0.11,1,17,0,False,False,False,False,True,False,False
0.216,1,18,0,False,False,False,False,True,False,False
0.218,1,19,0,False,False,False,False,True,False,False
0.142,1,20,0,False,False,False,False,True,False,False
0.293,1,21,0,False,False,False,False,True,False,False
0.339,1,22,0,False,False,False,False,True,False,False
